,WHO Region,ISO3,WHO Country Name,city,Measurement Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3),PM25 temporal coverage (%),PM10 temporal coverage (%),NO2 temporal coverage (%),Reference,Number and type of monitoring stations,Version of the database,Status,V,T,W
0,European Region,DEU,Germany,Berlin,2010,21.33,28.62,32.89,97.8765,97.9011428571428,99.063875,European Environment Agency (downloaded in 2021),"7 rural, 2 suburban, 25 urban",2022,,906.291723024,9.86266735534097,1261864625.44194
1,European Region,DEU,Germany,Berlin,2013,16.37,24.08,31.45,,,98.954765981875,European Environment Agency (downloaded in 2021),,2022,,906.291723024,9.86266735534097,1261864625.44194
2,European Region,DEU,Germany,Berlin,2014,20.55,27.28,31.45,,,98.969035388125,European Environment Agency (downloaded in 2021),,2022,,906.291723024,9.86266735534097,1261864625.44194
3,European Region,DEU,Germany,Berlin,2015,16.86,23.34,30.49,,,99.04252283125,European Environment Agency (downloaded in 2021),,2022,,906.291723024,9.86266735534097,1261864625.44194
4,European Region,DEU,Germany,Berlin,2016,16.47,23.16,30.37,,,99.430071721875,European Environment Agency (downloaded in 2021),,2022,,906.291723024,9.86266735534097,1261864625.44194
5,European Region,DEU,Germany,Berlin,2017,15.62,22.49,29.14,,,99.02968036625,European Environment Agency (downloaded in 2021),,2022,,906.291723024,9.86266735534097,1261864625.44194
6,European Region,DEU,Germany,Berlin,2018,16.14,23.74,29.83,,,99.1964738711111,European Environment Agency (downloaded in 2021),,2022,,906.291723024,9.86266735534097,1261864625.44194
7,European Region,DEU,Germany,Berlin,2019,13.74,19.57,27.56,,,99.4148041331578,European Environment Agency (downloaded in 2021),,2022,,906.291723024,9.86266735534097,1261864625.44194
8,European Region,DEU,Germany,Bonn,2010,,26.07,29.83,,95.845,94.418,European Environment Agency (downloaded in 2021),2 suburban,2022,,86.5084652033333,10.4262828006088,71342013.5131128
9,European Region,DEU,Germany,Bonn,2013,,20.87,41.83,,,98.37519026,European Environment Agency (downloaded in 2021),,2022,,86.5084652033333,10.4262828006088,71342013.5131128
10,European Region,DEU,Germany,Bonn,2014,,19.97,41.17,,,97.0547945233333,European Environment Agency (downloaded in 2021),,2022,,86.5084652033333,10.4262828006088,71342013.5131128
11,European Region,DEU,Germany,Bonn,2015,,19.72,41.03,,,86.8074581433333,European Environment Agency (downloaded in 2021),,2022,,86.5084652033333,10.4262828006088,71342013.5131128
12,European Region,DEU,Germany,Bonn,2016,,17.43,39.55,,,98.83120826,European Environment Agency (downloaded in 2021),,2022,,86.5084652033333,10.4262828006088,71342013.5131128
13,European Region,DEU,Germany,Bonn,2017,,16.9,37.63,,,88.4474885833333,European Environment Agency (downloaded in 2021),,2022,,86.5084652033333,10.4262828006088,71342013.5131128
14,European Region,DEU,Germany,Bonn,2018,,19.21,39.02,,,98.0365296833333,European Environment Agency (downloaded in 2021),,2022,,86.5084652033333,10.4262828006088,71342013.5131128
15,European Region,DEU,Germany,Bonn,2019,,15.18,33.52,,,98.2496194833333,European Environment Agency (downloaded in 2021),,2022,,86.5084652033333,10.4262828006088,71342013.5131128
16,European Region,DEU,Germany,Bremen,2010,15.65,22.61,27.35,97.911,91.8113333333333,89.5435,European Environment Agency (downloaded in 2021),8 urban,2022,,1460.109486058,10.0028173066846,391558779.189452
17,European Region,DEU,Germany,Bremen,2013,12.73,20.34,24.99,,,98.20585997,European Environment Agency (downloaded in 2021),,2022,,1460.109486058,10.0028173066846,391558779.189452
18,European Region,DEU,Germany,Bremen,2014,14.73,21.96,24.97,,,98.599695585,European Environment Agency (downloaded in 2021),,2022,,1460.109486058,10.0028173066846,391558779.189452
19,European Region,DEU,Germany,Bremen,2015,11.65,18.71,24.68,,,99.1971080666666,European Environment Agency (downloaded in 2021),,2022,,1460.109486058,10.0028173066846,391558779.189452
20,European Region,DEU,Germany,Bremen,2016,11.51,18.81,24.01,,,98.6243928366666,European Environment Agency (downloaded in 2021),,2022,,1460.109486058,10.0028173066846,391558779.189452
21,European Region,DEU,Germany,Bremen,2017,11.64,18.68,23.22,,,99.1362252666666,European Environment Agency (downloaded in 2021),,2022,,1460.109486058,10.0028173066846,391558779.189452
22,European Region,DEU,Germany,Bremen,2018,12.97,19.85,22.97,,,99.183789955,European Environment Agency (downloaded in 2021),,2022,,1460.109486058,10.0028173066846,391558779.189452
23,European Region,DEU,Germany,Bremen,2019,10.98,17.97,21.38,,,98.9745053283333,European Environment Agency (downloaded in 2021),,2022,,1460.109486058,10.0028173066846,391558779.189452
24,European Region,DEU,Germany,Dresden,2010,19.31,27.93,37.57,98.9953333333333,93.4726,98.0976666666666,European Environment Agency (downloaded in 2021),11 urban,2022,,430.819578403333,9.11475116899968,226079056.843084
25,European Region,DEU,Germany,Dresden,2013,17.14,24.51,,,,,European Environment Agency (downloaded in 2021),,2022,,430.819578403333,9.11475116899968,226079056.843084
26,European Region,DEU,Germany,Dresden,2014,17.25,24.94,34.72,,,98.8812785366666,European Environment Agency (downloaded in 2021),,2022,,430.819578403333,9.11475116899968,226079056.843084
27,European Region,DEU,Germany,Dresden,2015,14.14,22.1,33.14,,,99.19330289,European Environment Agency (downloaded in 2021),,2022,,430.819578403333,9.11475116899968,226079056.843084
28,European Region,DEU,Germany,Dresden,2016,13.4,20.95,31.59,,,99.03612629,European Environment Agency (downloaded in 2021),,2022,,430.819578403333,9.11475116899968,226079056.843084
29,European Region,DEU,Germany,Dresden,2017,13.28,19.56,29.34,,,99.27321157,European Environment Agency (downloaded in 2021),,2022,,430.819578403333,9.11475116899968,226079056.843084
30,European Region,DEU,Germany,Dresden,2018,14.3,21.02,29.29,,,98.5312024366666,European Environment Agency (downloaded in 2021),,2022,,430.819578403333,9.11475116899968,226079056.843084
31,European Region,DEU,Germany,Dresden,2019,11.02,17.06,26.15,,,99.17047184,European Environment Agency (downloaded in 2021),,2022,,430.819578403333,9.11475116899968,226079056.843084
