"State / Measuring network";"Station code";"Station name";"Station setting";"Station type";"Annual mean value in µg/m³";"Number of daily mean values above 50 µg/m³"
Brandenburg;DEBB044;"Cottbus, Bahnhofstr.";"urban area";traffic;35;59
Brandenburg;DEBB045;"Frankfurt (Oder), Leipziger Str.";"urban area";traffic;30;35
Brandenburg;DEBB049;"Brandenburg, Neuendorfer Str.";"urban area";traffic;26;25
Brandenburg;DEBB054;"Potsdam, Zeppelinstr.";"urban area";traffic;27;20
Brandenburg;DEBB068;"Bernau, Lohmühlenstr.";"urban area";traffic;26;21
Brandenburg;DEBB072;"Teltow, Potsdamer Str.";"urban area";traffic;28;27
Brandenburg;DEBB073;"Potsdam, Großbeerenstr.";"urban area";traffic;26;15
Brandenburg;DEBB074;"Lübben, Puschkinstr.";"urban area";traffic;24;16
Berlin;DEBE061;"Berlin Schildhornstraße";"urban area";traffic;27;20
Berlin;DEBE063;"Berlin Silbersteinstraße 1";"urban area";traffic;30;30
Berlin;DEBE064;"Berlin Karl-Marx-Straße";"urban area";traffic;30;23
Berlin;DEBE065;"Berlin Frankfurter Allee";"urban area";traffic;31;29
Berlin;DEBE067;"Berlin Hardenbergplatz";"urban area";traffic;26;17
Baden-Württemberg;DEBW001;Karlsruhe-Mitte;"urban area";traffic;23;15
Baden-Württemberg;DEBW011;Stuttgart-Zuffenhausen;"urban area";traffic;23;21
Baden-Württemberg;DEBW080;"Karlsruhe Reinhold-Frank-Straße";"urban area";traffic;26;16
Baden-Württemberg;DEBW098;"Mannheim Friedrichsring";"urban area";traffic;28;26
Baden-Württemberg;DEBW099;"Stuttgart Arnulf-Klett-Platz";"urban area";traffic;31;32
Baden-Württemberg;DEBW116;"Stuttgart Hohenheimer Straße";"urban area";traffic;35;52
Baden-Württemberg;DEBW117;"Ludwigsburg Friedrichstraße";"urban area";traffic;35;57
Baden-Württemberg;DEBW118;"Stuttgart Am Neckartor";"urban area";traffic;44;110
Baden-Württemberg;DEBW119;"Stuttgart Siemensstraße (S)";"urban area";traffic;36;60
Baden-Württemberg;DEBW120;"Leonberg Grabenstraße";"urban area";traffic;33;48
Baden-Württemberg;DEBW121;"Pleidelsheim Beihinger Straße";"urban area";traffic;31;43
Baden-Württemberg;DEBW122;"Freiburg Schwarzwaldstraße";"urban area";traffic;28;21
Baden-Württemberg;DEBW123;"Reutlingen Lederstraße (S)";"urban area";traffic;26;8
Baden-Württemberg;DEBW124;"Heidelberg Karlsruher Straße (S)";"urban area";traffic;29;29
Baden-Württemberg;DEBW126;"Karlsruhe Kriegsstraße";"urban area";traffic;27;22
Baden-Württemberg;DEBW127;"Freiburg Zähringer Straße";"urban area";traffic;27;22
Baden-Württemberg;DEBW130;"Pforzheim Jahnstraße";"urban area";traffic;26;22
Baden-Württemberg;DEBW132;"Heilbronn Weinsberger Straße (S)";"urban area";traffic;32;39
Baden-Württemberg;DEBW134;"Stuttgart Waiblinger Straße";"urban area";traffic;32;40
Baden-Württemberg;DEBW135;"Herrenberg Hindenburger Straße";"urban area";traffic;28;30
Baden-Württemberg;DEBW136;"Tübingen Mühlstraße";"urban area";traffic;29;28
