"State / Measuring network";"Station code";"Station name";"Station setting";"Station type";"Annual mean value in µg/m³";"Number of daily mean values above 50 µg/m³";"Number of daily mean values above 50 µg/m³ (road salt discount included)*"
Brandenburg;DEBB044;"Cottbus, Bahnhofstr.";"urban area";traffic;27;29;
Brandenburg;DEBB045;"Frankfurt (Oder), Leipziger Str.";"urban area";traffic;31;45;
Brandenburg;DEBB049;"Brandenburg, Neuendorfer Str.";"urban area";traffic;25;29;
Brandenburg;DEBB054;"Potsdam, Zeppelinstr.";"urban area";traffic;29;31;
Brandenburg;DEBB068;"Bernau, Lohmühlenstr.";"urban area";traffic;27;29;
Brandenburg;DEBB073;"Potsdam, Großbeerenstr.";"urban area";traffic;26;27;
Brandenburg;DEBB087;"Cottbus, W.-Külz-Str.";"urban area";traffic;25;29;
Berlin;DEBE061;"Berlin Schildhornstraße";"urban area";traffic;30;35;
Berlin;DEBE063;"Berlin Silbersteinstraße 1";"urban area";traffic;30;48;
Berlin;DEBE064;"Berlin Karl-Marx-Straße";"urban area";traffic;31;48;
Berlin;DEBE065;"Berlin Frankfurter Allee";"urban area";traffic;32;48;
Berlin;DEBE069;"Berlin Mariendorfer Damm";"urban area";traffic;31;29;
Baden-Württemberg;DEBW080;"Karlsruhe Reinhold-Frank-Straße";"urban area";traffic;22;12;
Baden-Württemberg;DEBW098;"Mannheim Friedrichsring";"urban area";traffic;25;17;
Baden-Württemberg;DEBW099;"Stuttgart Arnulf-Klett-Platz";"urban area";traffic;28;19;
Baden-Württemberg;DEBW116;"Stuttgart Hohenheimer Straße";"urban area";traffic;24;15;
Baden-Württemberg;DEBW117;"Ludwigsburg Friedrichstraße";"urban area";traffic;24;13;
Baden-Württemberg;DEBW118;"Stuttgart Am Neckartor";"urban area";traffic;38;64;
Baden-Württemberg;DEBW121;"Pleidelsheim Beihinger Straße";"urban area";traffic;24;15;
Baden-Württemberg;DEBW122;"Freiburg Schwarzwaldstraße";"urban area";traffic;19;2;
Baden-Württemberg;DEBW134;"Stuttgart Waiblinger Straße";"urban area";traffic;25;12;
Baden-Württemberg;DEBW136;"Tübingen Mühlstraße";"urban area";traffic;23;14;
Baden-Württemberg;DEBW147;"Reutlingen Lederstraße-Ost";"urban area";traffic;31;24;
Baden-Württemberg;DEBW152;"Heilbronn Weinsberger Straße-Ost";"urban area";traffic;28;22;
Baden-Württemberg;DEBW153;"Ulm Karlstraße";"urban area";traffic;26;19;
Baden-Württemberg;DEBW156;"Schramberg Oberndorfer Straße";"urban area";traffic;19;3;
Bavaria;DEBY001;Ansbach/Residenzstraße;"urban area";traffic;20;10;
Bavaria;DEBY006;Augsburg/Königsplatz;"urban area";traffic;22;15;
Bavaria;DEBY021;Ingolstadt/Rechbergstraße;"urban area";traffic;20;14;
Bavaria;DEBY028;"Kelheim/Regensburger Straße";"urban area";traffic;19;5;
Bavaria;DEBY033;Landshut/Podewilsstraße;"urban area";traffic;20;10;
Bavaria;DEBY035;"Lindau (Bodensee)/Friedrichshafener Straße";"urban area";traffic;17;9;
Bavaria;DEBY037;München/Stachus;"urban area";traffic;23;14;13
Bavaria;DEBY056;Fürth/Theresienstraße;"urban area";traffic;22;13;
Bavaria;DEBY063;Regensburg/Rathaus;"urban area";traffic;27;30;
Bavaria;DEBY110;Augsburg/Karlstraße;"urban area";traffic;27;18;
Bavaria;DEBY111;Bayreuth/Hohenzollernring;"urban area";traffic;20;12;
Bavaria;DEBY115;"München/Landshuter Allee";"urban area";traffic;27;17;16
Bavaria;DEBY119;"Würzburg/Stadtring Süd";"urban area";traffic;25;18;
Bavaria;DEBY120;Nürnberg/Von-der-Tann-Straße;"urban area";traffic;27;24;23
Bremen;DEHB006;Bremen-Dobben;"urban area";traffic;27;32;
Bremen;DEHB011;"Bremerhaven-Cherbourger Straße";"urban area";traffic;26;8;
Hesse;DEHE037;"Wiesbaden Ringkirche";"urban area";traffic;21;8;
Hesse;DEHE040;"Darmstadt Hügelstraße";"urban area";traffic;24;13;
Hesse;DEHE041;"Frankfurt Friedberger Landstraße";"urban area";traffic;26;17;
Hesse;DEHE049;"Kassel Fünffensterstraße";"urban area";traffic;28;25;
Hesse;DEHE059;"Fulda Petersberger Straße";"urban area";traffic;23;15;
Hesse;DEHE061;"Gießen Westanlage";"urban area";traffic;26;18;
Hesse;DEHE062;"Marburg Universitätsstraße";"urban area";traffic;22;12;
Hesse;DEHE063;"Heppenheim Lehrstraße";"urban area";traffic;20;10;
Hesse;DEHE094;Reinheim;"urban area";traffic;21;10;
Hesse;DEHE112;"Wiesbaden Schiersteiner Straße";"urban area";traffic;21;6;
Hesse;DEHE116;"Offenbach Untere Grenzstraße";"urban area";traffic;23;14;
Hamburg;DEHH026;"Hamburg Stresemannstraße";"urban area";traffic;25;22;
Hamburg;DEHH068;"Hamburg Habichtstraße";"urban area";traffic;29;26;
Hamburg;DEHH070;"Hamburg Max-Brauer-Allee II (Straße)";"urban area";traffic;25;13;
"Mecklenburg-West Pomerania";DEMV003;Neubrandenburg;"urban area";traffic;24;18;
"Mecklenburg-West Pomerania";DEMV020;"Rostock Am Strande";"urban area";traffic;28;27;
"Mecklenburg-West Pomerania";DEMV022;Rostock-Holbeinplatz;"urban area";traffic;26;19;
"Mecklenburg-West Pomerania";DEMV023;Schwerin-Obotritenring;"urban area";traffic;23;10;
"Mecklenburg-West Pomerania";DEMV025;Stralsund-Knieperdamm;"urban area";traffic;21;15;
"Lower Saxony";DENI048;"Hannover Verkehr";"urban area";traffic;24;20;
"Lower Saxony";DENI067;Osnabrück-Verkehr;"urban area";traffic;27;21;
"Lower Saxony";DENI068;Göttingen-Verkehr;"urban area";traffic;25;24;
"Lower Saxony";DENI075;Braunschweig-Verkehr;"urban area";traffic;23;14;
"Lower Saxony";DENI143;"Oldenburg Heiligengeistwall";"urban area";traffic;26;28;
"Lower Saxony";DENI157;"Wolfsburg Heßlinger Straße";"urban area";traffic;22;11;
"North Rhine-Westphalia";DENW043;"Essen-Ost Steeler Straße";"urban area";traffic;23;12;
"North Rhine-Westphalia";DENW082;"Düsseldorf Corneliusstraße";"urban area";traffic;25;15;
"North Rhine-Westphalia";DENW100;"Mönchengladbach Düsseldorfer Straße";"urban area";traffic;20;6;
"North Rhine-Westphalia";DENW101;"Dortmund Steinstraße";"urban area";traffic;22;12;
"North Rhine-Westphalia";DENW112;"Duisburg Kardinal-Galen-Straße";"urban area";traffic;22;10;
"North Rhine-Westphalia";DENW133;"Hagen Graf-von-Galen-Ring";"urban area";traffic;29;23;
"North Rhine-Westphalia";DENW134;"Essen Gladbecker Straße";"urban area";traffic;26;21;
"North Rhine-Westphalia";DENW136;"Dortmund Brackeler Straße";"urban area";traffic;26;22;
"North Rhine-Westphalia";DENW186;"Bielefeld Stapenhorststraße 59";"urban area";traffic;24;13;
"North Rhine-Westphalia";DENW188;"Oberhausen Mülheimer Straße 117";"urban area";traffic;27;18;
"North Rhine-Westphalia";DENW189;"Wuppertal Gathe";"urban area";traffic;23;8;
"North Rhine-Westphalia";DENW201;"Bottrop Peterstraße";"urban area";traffic;26;23;
"North Rhine-Westphalia";DENW203;"Herne Recklinghauser Straße";"urban area";traffic;27;23;
"North Rhine-Westphalia";DENW207;"Aachen Wilhelmstraße";"urban area";traffic;27;21;
"North Rhine-Westphalia";DENW208;"Gelsenkirchen Kurt-Schumacher-Straße";"urban area";traffic;31;35;
"North Rhine-Westphalia";DENW211;"Köln Clevischer Ring";"urban area";traffic;29;23;
"North Rhine-Westphalia";DENW212;"Köln Turiner Straße";"urban area";traffic;21;12;
"North Rhine-Westphalia";DENW259;"Mönchengladbach Friedrich-Ebert-Straße";"urban area";traffic;25;16;
"North Rhine-Westphalia";DENW260;"Münster Weseler Straße";"urban area";traffic;25;18;
"North Rhine-Westphalia";DENW292;"Schwerte Hörder Straße";"urban area";traffic;26;15;
"North Rhine-Westphalia";DENW351;"Gelsenkirchen Grothusstraße";"urban area";traffic;24;16;
Rhineland-Palatinate;DERP010;Mainz-Parcusstraße;"urban area";traffic;24;18;
Rhineland-Palatinate;DERP020;Trier-Ostallee;"urban area";traffic;20;8;
Rhineland-Palatinate;DERP023;Worms-Hagenstraße;"urban area";traffic;22;14;
Rhineland-Palatinate;DERP041;Ludwigshafen-Heinigstraße;"urban area";traffic;24;14;
Rhineland-Palatinate;DERP045;"Koblenz-Hohenfelder Straße";"urban area";traffic;20;7;
Rhineland-Palatinate;DERP046;Neuwied-Hermannstraße;"urban area";traffic;19;8;
Saarland;DESL020;Saarbrücken-Verkehr;"urban area";traffic;22;10;
Schleswig-Holstein;DESH022;Flensburg;"urban area";traffic;22;8;
Schleswig-Holstein;DESH025;"Itzehoe Lindenstr.";"urban area";traffic;22;12;
Schleswig-Holstein;DESH027;"Kiel-Bahnhofstr. Verk.";"urban area";traffic;25;17;
Schleswig-Holstein;DESH028;Ratzeburg;"urban area";traffic;23;13;
Schleswig-Holstein;DESH053;"Lübeck Moislinger Allee";"urban area";traffic;24;11;
Saxony;DESN006;Borna;"urban area";traffic;24;29;
Saxony;DESN020;Görlitz;"urban area";traffic;26;34;
Saxony;DESN025;Leipzig-Mitte;"urban area";traffic;28;34;
Saxony;DESN061;Dresden-Nord;"urban area";traffic;27;27;
Saxony;DESN075;Plauen-Süd;"urban area";traffic;21;19;
Saxony;DESN077;"Leipzig Lützner Str.";"urban area";traffic;30;43;
Saxony;DESN083;"Chemnitz-Leipziger Str.";"urban area";traffic;28;36;
Saxony;DESN084;Dresden-Bergstr.;"urban area";traffic;30;36;
Saxony;DESN091;"Zwickau-Werdauer Str.";"urban area";traffic;23;30;
Saxony-Anhalt;DEST075;"Halle/Merseburger Strasse";"urban area";traffic;25;23;
Saxony-Anhalt;DEST076;Magdeburg/Damaschkeplatz;"urban area";traffic;28;31;
Saxony-Anhalt;DEST091;"Dessau Albrechtsplatz";"urban area";traffic;23;19;
Saxony-Anhalt;DEST092;"Wittenberg/Dessauer Strasse";"urban area";traffic;26;27;
Saxony-Anhalt;DEST095;Aschersleben;"urban area";traffic;26;33;
Saxony-Anhalt;DEST099;Magdeburg/Reuterallee;"urban area";traffic;28;29;
Saxony-Anhalt;DEST101;Halberstadt/Friedenstrasse;"urban area";traffic;27;27;
Saxony-Anhalt;DEST102;Halle/Paracelsusstr.;"urban area";traffic;33;41;
Saxony-Anhalt;DEST103;"Magdeburg Schleinufer";"urban area";traffic;28;28;
Thuringia;DETH043;"Erfurt Bergstr.";"urban area";traffic;26;31;
Thuringia;DETH072;"Suhl F.-König-Str";"urban area";traffic;15;1;
Thuringia;DETH083;"Weimar Steubenstr.";"urban area";traffic;23;24;
Thuringia;DETH091;"Mühlhausen Wanfrieder Str";"urban area";traffic;27;36;
Thuringia;DETH094;"Mühlhausen Kiliansgr.";"urban area";traffic;25;29;
Hamburg;DEHH015;"Hamburg Veddel";"urban area";industry;26;17;
Hamburg;DEHH016;"Hamburg Billbrook";"urban area";industry;19;7;
Hamburg;DEHH072;"Hamburg Finkenwerder West";"urban area";industry;20;4;
"North Rhine-Westphalia";DENW021;Bottrop-Welheim;"urban area";industry;22;14;
"North Rhine-Westphalia";DENW034;Duisburg-Walsum;"urban area";industry;21;8;
"North Rhine-Westphalia";DENW115;Krefeld-Stahldorf;"urban area";industry;17;5;
"North Rhine-Westphalia";DENW117;Bochum-Stahlhausen;"urban area";industry;20;8;
"North Rhine-Westphalia";DENW131;"Duisburg Kiebitzmühlenstraße";"urban area";industry;28;19;
"North Rhine-Westphalia";DENW181;Warstein;"urban area";industry;21;16;
"North Rhine-Westphalia";DENW245;"Stolberg Heinrich-Böll-Platz";"urban area";industry;19;4;
"North Rhine-Westphalia";DENW246;"Lünen Viktoriastraße";"urban area";industry;21;10;
"North Rhine-Westphalia";DENW254;"Duisburg Bergstraße 48";"urban area";industry;23;10;
"North Rhine-Westphalia";DENW301;"Mülheim Hofackerstraße 46-48";"urban area";industry;21;10;
"North Rhine-Westphalia";DENW306;"Lünen Mühlenweg";"urban area";industry;25;13;
"North Rhine-Westphalia";DENW338;Duisburg-Bruckhausen;"urban area";industry;28;24;
Rhineland-Palatinate;DERP003;Ludwigshafen-Mundenheim;"urban area";industry;22;16;
Saarland;DESL003;"Dillingen City";"urban area";industry;18;7;
Brandenburg;DEBB021;Potsdam-Zentrum;"urban area";background;21;13;
Brandenburg;DEBB064;Cottbus;"urban area";background;23;16;
Berlin;DEBE010;"Berlin Wedding";"urban area";background;25;29;
Berlin;DEBE034;"Berlin Neukölln";"urban area";background;27;28;
Berlin;DEBE068;"Berlin Mitte";"urban area";background;25;23;
Baden-Württemberg;DEBW009;Heidelberg;"urban area";background;18;7;
Baden-Württemberg;DEBW013;"Stuttgart-Bad Cannstatt";"urban area";background;18;8;
Baden-Württemberg;DEBW019;Ulm;"urban area";background;17;7;
Baden-Württemberg;DEBW027;Reutlingen;"urban area";background;17;6;
Baden-Württemberg;DEBW033;Pforzheim;"urban area";background;16;5;
Baden-Württemberg;DEBW038;Friedrichshafen;"urban area";background;17;9;
Baden-Württemberg;DEBW052;Konstanz;"urban area";background;16;7;
Baden-Württemberg;DEBW081;Karlsruhe-Nordwest;"urban area";background;17;8;
Baden-Württemberg;DEBW084;Freiburg;"urban area";background;14;3;
Bavaria;DEBY009;Bamberg/Löwenbrücke;"urban area";background;19;11;
Bavaria;DEBY032;Kulmbach/Konrad-Adenauer-Straße;"urban area";background;18;7;
Bavaria;DEBY039;München/Lothstraße;"urban area";background;18;8;
Bavaria;DEBY052;Neu-Ulm/Gabelsbergerstraße;"urban area";background;19;9;
Bavaria;DEBY068;Schweinfurt/Obertor;"urban area";background;17;5;
Bavaria;DEBY118;Passau/Stelzhamerstraße;"urban area";background;21;7;
