"country","city","water_area"
"AT","Innsbruck",30978.4609316349
"AT","Linz",40664.1267675347
"AT","Salzburg",9656301.90140471
"CH","Basel",23273968.8755645
"CH","Zürich",2045018.3938203
"DE","Aachen",24333920.136841
"DE","Aschaffenburg",27777970.8603495
"DE","Augsburg",21814471.8421046
"DE","Bamberg",19292301.2748462
"DE","Bayreuth",4008901.94045141
"DE","Berlin",1261864625.44194
"DE","Bielefeld",518342.375835632
"DE","Bocholt",5278500.88918148
"DE","Bonn",71342013.5131128
"DE","Brandenburg an der Havel",170523294.830343
"DE","Braunschweig-Salzgitter-Wolfsburg",46521123.7837797
"DE","Bremen",391558779.189452
"DE","Bremerhaven",531888683.405206
"DE","Celle",12114528.6673287
"DE","Chemnitz",576659.158199381
"DE","Cottbus",40652103.4673746
"DE","Darmstadt",2522637.5443619
"DE","Dessau-Roßlau",11864568.8138308
"DE","Dresden",226079056.843084
"DE","Düren",55360856.8816664
"DE","Düsseldorf",83627229.3013383
"DE","Erfurt",20154870.5413796
"DE","Flensburg",1022556789.72422
"DE","Frankfurt (Oder)",20062688.7589813
"DE","Frankfurt am Main",151407593.342708
"DE","Freiburg im Breisgau",27348966.1057505
"DE","Friedrichshafen",3607013.34910484
"DE","Fulda",675147.213724957
"DE","Gera",9301885.16079619
"DE","Gießen",4231320.47083356
"DE","Greifswald",19919609343.4053
"DE","Görlitz",69099142.574568
"DE","Göttingen",12127057.1124877
"DE","Halle an der Saale",49626240.0757923
"DE","Hamburg",3120127503.21158
"DE","Hannover",91008667.7287367
"DE","Heidelberg",41846495.1501174
"DE","Heilbronn",10595244.7612469
"DE","Hildesheim",13980411.1260258
"DE","Ingolstadt",46711102.9584894
"DE","Iserlohn",13098067.6107601
"DE","Jena",3479531.10246964
"DE","Kaiserslautern",3817358.47498992
"DE","Karlsruhe",98773659.8467488
"DE","Kassel",31896864.740507
"DE","Kempten (Allgäu)",17257101.2375107
"DE","Kiel",2320492490.49531
"DE","Koblenz",62377733.5838644
"DE","Konstanz",7578622.46585858
"DE","Krefeld",6482428.18150476
"DE","Köln",92599486.6538831
"DE","Landshut",26210133.3746788
"DE","Leipzig",194875311.052031
"DE","Lübeck",6543876002.16388
"DE","Lüneburg",299117402.570089
"DE","Magdeburg",362491718.825955
"DE","Mainz",172799781.637103
"DE","Mannheim-Ludwigshafen",261797287.223781
"DE","Marburg",3405363.78802917
"DE","Mönchengladbach",266944.536937381
"DE","München",2351916254.2099
"DE","Münster",7125785.74066987
"DE","Neubrandenburg",605940034.24686
"DE","Neumünster",2526961.75229039
"DE","Nürnberg",53132426.313751
"DE","Offenburg",38809605.1665906
"DE","Oldenburg (Oldenburg)",26314675.2055647
"DE","Osnabrück",11744324.0419586
"DE","Paderborn",8526321.76981528
"DE","Passau",45426383.4802676
"DE","Pforzheim",1557804.74392417
"DE","Plauen",10477051.3406701
"DE","Regensburg",49473862.8408396
"DE","Remscheid",2161669.34556814
"DE","Reutlingen",499344.858945616
"DE","Rosenheim",38602957.8564773
"DE","Rostock",1736848017.60057
"DE","Ruhrgebiet",217455880.111165
"DE","Saarbrücken",12088519.6931166
"DE","Schweinfurt",12483249.2443159
"DE","Schwerin",917341869.698584
"DE","Siegen",3398058.90408361
"DE","Solingen",1672678.28019702
"DE","Stralsund",152612292505.879
"DE","Stuttgart",16919764.6985343
"DE","Trier",35255550.3754861
"DE","Tübingen",3021814.27240197
"DE","Ulm",24407132.1313041
"DE","Villingen-Schwenningen",2839637.9360969
"DE","Weimar",1960290.47752009
"DE","Wetzlar",5115430.89252632
"DE","Wiesbaden",213437976.040118
"DE","Wilhelmshaven",616959479.505611
"DE","Wuppertal",1860179.40927023
"DE","Würzburg",35053772.2054726
"DE","Zwickau",4991674.77041621
"FR","Colmar",4024476.89350443
"FR","Mulhouse",2650468.28788809
"FR","Strasbourg",49826940.1870684
"LU","Luxembourg",20123747.3808774
"NL","Almelo",6873.45500346478
"NL","Enschede",430635.718554501
"NL","Nijmegen",4394.79982945147
"NL","Venlo",92050.4817300154
"PL","Szczecin",4735468.0131795
