"country","fua_name","water_area"
"FR","Ajaccio",19302778.5181759
"FR","Albi",13331476.0291986
"FR","Amiens",25894160.8746816
"FR","Angers",43734022.5968278
"FR","Angoulême",9625431.76733456
"FR","Annecy",30101344.4519089
"FR","Annemasse",680998.504119518
"FR","Arras",3413747.60439805
"FR","Avignon",22235412.4167668
"FR","Bayonne",26082978.9801356
"FR","Beauvais",5190815.95532984
"FR","Belfort",12598434.3393802
"FR","Besançon",19261447.0216847
"FR","Bordeaux",151965021.959028
"FR","Boulogne-sur-Mer",7211410.53343265
"FR","Bourges",15662291.912133
"FR","Brest",45532998.0344663
"FR","Brive-la-Gaillarde",4873548.01390671
"FR","Béziers",12134467.8521875
"FR","Caen",22003402.56971
"FR","Calais",8684985.21253935
"FR","Cannes",6419603.48844265
"FR","Chalon-sur-Saône",26480464.8646838
"FR","Chambéry",38466884.4451265
"FR","Charleville-Mézières",13409072.9995646
"FR","Chartres",6246270.97777251
"FR","Cherbourg",11895432.8167513
"FR","Châlons-en-Champagne",10678946.8529673
"FR","Châteauroux",37987374.500226
"FR","Clermont-Ferrand",12743951.6871914
"FR","Colmar",7692675.09416874
"FR","Compiègne",13798718.5592333
"FR","Creil",5183480.28333834
"FR","Dijon",33880994.5662333
"FR","Douai",8762885.67876453
"FR","Dunkerque",24507292.5154403
"FR","Evreux",3240467.15713771
"FR","Fréjus",7249683.19836944
"FR","Grenoble",26370331.8232141
"FR","Hénin - Carvin",1345733.44765543
"FR","La Rochelle",23091557.7717132
"FR","Le Havre",25187626.1322712
"FR","Le Mans",12892125.5075728
"FR","Lens - Liévin",1586974.52552071
"FR","Lille",10002324.6828107
"FR","Limoges",28153934.3439046
"FR","Lorient",29666411.6585351
"FR","Lyon",100490116.139186
"FR","Marseille",55425511.6023574
"FR","Martigues",22682695.2334432
"FR","Melun",4437372.17663381
"FR","Metz",25647154.0806006
"FR","Montbéliard",11324102.0701376
"FR","Montpellier",91493991.1780405
"FR","Mulhouse",15193879.121754
"FR","Nancy",36166035.1476262
"FR","Nantes",79129711.6910973
"FR","Nice",16214150.0135977
"FR","Niort",3770982.87354332
"FR","Nîmes",24801395.598116
"FR","Orléans",50799170.873106
"FR","Paris",105546900.42732
"FR","Pau",10432106.1741318
"FR","Perpignan",26669767.2453604
"FR","Poitiers",11332985.0429402
"FR","Quimper",13892672.3419992
"FR","Reims",9230162.32187282
"FR","Rennes",31191763.9388263
"FR","Roanne",13147583.8864004
"FR","Rouen",39753245.6349242
"FR","Saint-Brieuc",8653008.90275168
"FR","Saint-Etienne",13805231.2557002
"FR","Saint-Nazaire",27443629.3198469
"FR","Saint-Quentin",8753074.45472172
"FR","Strasbourg",42950876.865998
"FR","Tarbes",6728165.19822104
"FR","Toulon",31857560.0092813
"FR","Toulouse",59835338.1346399
"FR","Tours",34182582.131952
"FR","Troyes",50373855.3536433
"FR","Valence",14575363.5873361
"FR","Valenciennes",9073680.94107083
"FR","Vannes",34766533.972438
"IT","Acireale",1414716.97702663
"IT","Alessandria",7652013.09181286
"IT","Altamura",182996.46847913
"IT","Ancona",6876800.63691579
"IT","Andria",15564.1324493072
"IT","Arezzo",4590165.25903001
"IT","Asti",3197130.02072569
"IT","Avellino",668652.932263092
"IT","Bari",8726053.0072354
"IT","Barletta",2406554.15746283
"IT","Battipaglia",615526.736389624
"IT","Bergamo",829121.84107684
"IT","Bisceglie",975176.133762727
"IT","Bologna",20470831.8358944
