"country","city","variable","value"
"Germany","Berlin","mean_temp",9.86266735534097
"Germany","Bonn","mean_temp",10.4262828006088
"Germany","Bremen","mean_temp",10.0028173066846
"Germany","Köln","mean_temp",10.6708187139756
"Germany","Dresden","mean_temp",9.11475116899968
"Germany","Frankfurt","mean_temp",10.466157691444
"Germany","Hamburg","mean_temp",9.65657807720138
"Germany","Leipzig","mean_temp",9.99417847144247
"Germany","München","mean_temp",9.41258375626918
"Germany","Nürnberg","mean_temp",9.38015159817352
"Germany","Stuttgart","mean_temp",9.88531469920403
"Switzerland","Basel","mean_temp",10.0637604511316
"Switzerland","Zürich","mean_temp",9.80529034608378
"Germany","Berlin","mean_green_area_pc",906.291723024
"Germany","Bonn","mean_green_area_pc",86.5084652033333
"Germany","Bremen","mean_green_area_pc",1460.109486058
"Germany","Köln","mean_green_area_pc",135.449316089333
"Germany","Dresden","mean_green_area_pc",430.819578403333
"Germany","Frankfurt","mean_green_area_pc",253.724771214667
"Germany","Hamburg","mean_green_area_pc",2750.63363296333
"Germany","Leipzig","mean_green_area_pc",304.171333461333
"Germany","München","mean_green_area_pc",1601.13714230267
"Germany","Nürnberg","mean_green_area_pc",792.518411863333
"Germany","Stuttgart","mean_green_area_pc",346.676089003333
"Switzerland","Basel","mean_green_area_pc",286.568798314
"Switzerland","Zürich","mean_green_area_pc",334.867540323333
"Switzerland","Basel","water_area",23273968.8755645
"Switzerland","Zürich","water_area",2045018.3938203
"Germany","Berlin","water_area",1261864625.44194
"Germany","Bonn","water_area",71342013.5131128
"Germany","Bremen","water_area",391558779.189452
"Germany","Dresden","water_area",226079056.843084
"Germany","Frankfurt","water_area",151407593.342708
"Germany","Hamburg","water_area",3120127503.21158
"Germany","Köln","water_area",92599486.6538831
"Germany","Leipzig","water_area",194875311.052031
"Germany","München","water_area",2351916254.2099
"Germany","Nürnberg","water_area",53132426.313751
"Germany","Stuttgart","water_area",16919764.6985343
