"","city","year","country","variable","value"
"1","Berlin",2002,"Germany","particles",28
"2","Berlin",2003,"Germany","particles",30
"3","Berlin",2004,"Germany","particles",24
"4","Berlin",2005,"Germany","particles",26
"5","Berlin",2006,"Germany","particles",29
"6","Berlin",2007,"Germany","particles",22.6666666666667
"7","Berlin",2008,"Germany","particles",22.6666666666667
"8","Berlin",2009,"Germany","particles",24.3333333333333
"9","Berlin",2010,"Germany","particles",25
"10","Berlin",2011,"Germany","particles",24
"11","Berlin",2012,"Germany","particles",21.3333333333333
"12","Berlin",2013,"Germany","particles",22.3333333333333
"13","Berlin",2014,"Germany","particles",25.3333333333333
"14","Bremen",2002,"Germany","particles",28
"15","Bremen",2003,"Germany","particles",30
"16","Bremen",2004,"Germany","particles",28
"17","Bremen",2005,"Germany","particles",27
"18","Bremen",2006,"Germany","particles",27
"19","Bremen",2007,"Germany","particles",25
"20","Bremen",2008,"Germany","particles",26.5
"21","Bremen",2009,"Germany","particles",25.5
"22","Bremen",2010,"Germany","particles",24
"23","Bremen",2011,"Germany","particles",25.5
"24","Bremen",2012,"Germany","particles",21
"25","Bremen",2013,"Germany","particles",21
"26","Bremen",2014,"Germany","particles",23.5
"27","Dortmund",2002,"Germany","particles",29
"28","Dortmund",2003,"Germany","particles",31
"29","Dortmund",2004,"Germany","particles",27
"30","Dortmund",2005,"Germany","particles",27
"31","Dortmund",2006,"Germany","particles",27
"32","Dortmund",2007,"Germany","particles",28
"33","Dortmund",2008,"Germany","particles",26
"34","Dortmund",2009,"Germany","particles",25
"35","Dortmund",2010,"Germany","particles",26
"36","Dortmund",2011,"Germany","particles",25
"37","Dortmund",2012,"Germany","particles",21
"38","Dortmund",2013,"Germany","particles",22
"39","Dortmund",2014,"Germany","particles",20
"40","Dresden",2002,"Germany","particles",32
"41","Dresden",2003,"Germany","particles",36
"42","Dresden",2004,"Germany","particles",30
"43","Dresden",2005,"Germany","particles",34
"44","Dresden",2006,"Germany","particles",39
"45","Dresden",2007,"Germany","particles",28
"46","Dresden",2008,"Germany","particles",33
"47","Dresden",2009,"Germany","particles",30
"48","Dresden",2010,"Germany","particles",30
"49","Dresden",2011,"Germany","particles",29
"50","Dresden",2012,"Germany","particles",26
"51","Dresden",2013,"Germany","particles",27
"52","Dresden",2014,"Germany","particles",27
"53","Frankfurt",2002,"Germany","particles",30.5
"54","Frankfurt",2003,"Germany","particles",35
"55","Frankfurt",2004,"Germany","particles",25.5
"56","Frankfurt",2005,"Germany","particles",25.5
"57","Frankfurt",2006,"Germany","particles",25
"58","Frankfurt",2007,"Germany","particles",23
"59","Frankfurt",2008,"Germany","particles",20.5
"60","Frankfurt",2009,"Germany","particles",24
"61","Frankfurt",2010,"Germany","particles",24
"62","Frankfurt",2011,"Germany","particles",20.5
"63","Frankfurt",2012,"Germany","particles",21
"64","Frankfurt",2013,"Germany","particles",22
"65","Frankfurt",2014,"Germany","particles",21.5
"66","Leipzig",2002,"Germany","particles",30
"67","Leipzig",2003,"Germany","particles",35
"68","Leipzig",2004,"Germany","particles",29
"69","Leipzig",2005,"Germany","particles",32.3333333333333
"70","Leipzig",2006,"Germany","particles",33.6666666666667
"71","Leipzig",2007,"Germany","particles",27.6666666666667
"72","Leipzig",2008,"Germany","particles",28
"73","Leipzig",2009,"Germany","particles",27.3333333333333
"74","Leipzig",2010,"Germany","particles",28.6666666666667
"75","Leipzig",2011,"Germany","particles",30.3333333333333
"76","Leipzig",2012,"Germany","particles",26
"77","Leipzig",2013,"Germany","particles",25.3333333333333
"78","Leipzig",2014,"Germany","particles",26.3333333333333
"79","Mannheim",2002,"Germany","particles",24
"80","Mannheim",2003,"Germany","particles",28
"81","Mannheim",2004,"Germany","particles",23
"82","Mannheim",2005,"Germany","particles",22
"83","Mannheim",2006,"Germany","particles",23
"84","Mannheim",2007,"Germany","particles",22
"85","Mannheim",2008,"Germany","particles",19
"86","Mannheim",2009,"Germany","particles",21
"87","Mannheim",2010,"Germany","particles",21
"88","Mannheim",2011,"Germany","particles",21
"89","Mannheim",2012,"Germany","particles",19
"90","Mannheim",2013,"Germany","particles",19
"91","Mannheim",2014,"Germany","particles",18
"92","München",2002,"Germany","particles",35
"93","München",2003,"Germany","particles",40
"94","München",2004,"Germany","particles",32.5
"95","München",2005,"Germany","particles",30
"96","München",2006,"Germany","particles",32.5
"97","München",2007,"Germany","particles",26.5
"98","München",2008,"Germany","particles",25.5
"99","München",2009,"Germany","particles",28
"100","München",2010,"Germany","particles",28
"101","München",2011,"Germany","particles",26.5
"102","München",2012,"Germany","particles",22
"103","München",2013,"Germany","particles",23
"104","München",2014,"Germany","particles",20.5
"105","Stuttgart",2002,"Germany","particles",26
"106","Stuttgart",2003,"Germany","particles",28
"107","Stuttgart",2004,"Germany","particles",23
"108","Stuttgart",2005,"Germany","particles",24
"109","Stuttgart",2006,"Germany","particles",26
"110","Stuttgart",2007,"Germany","particles",23
"111","Stuttgart",2008,"Germany","particles",19
"112","Stuttgart",2009,"Germany","particles",20
"113","Stuttgart",2010,"Germany","particles",21
"114","Stuttgart",2011,"Germany","particles",20
"115","Stuttgart",2012,"Germany","particles",19
"116","Stuttgart",2013,"Germany","particles",20
"117","Stuttgart",2014,"Germany","particles",18
"118","Berlin",2002,"Germany","green_area_pc",906.28589857
"119","München",2002,"Germany","green_area_pc",1601.1370716
"120","Frankfurt",2002,"Germany","green_area_pc",253.71773441
"121","Stuttgart",2002,"Germany","green_area_pc",346.679877
"122","Leipzig",2002,"Germany","green_area_pc",304.168644
"123","Dresden",2002,"Germany","green_area_pc",430.81684341
"124","Dortmund",2002,"Germany","green_area_pc",53.02110528
"125","Bremen",2002,"Germany","green_area_pc",1460.1060102
"126","Mannheim",2002,"Germany","green_area_pc",103.46430492
"127","Berlin",2003,"Germany","green_area_pc",906.289795
"128","München",2003,"Germany","green_area_pc",1601.13907534
"129","Frankfurt",2003,"Germany","green_area_pc",253.71686808
"130","Stuttgart",2003,"Germany","green_area_pc",346.68013708
"131","Leipzig",2003,"Germany","green_area_pc",304.17030915
"132","Dresden",2003,"Germany","green_area_pc",430.82154086
"133","Dortmund",2003,"Germany","green_area_pc",53.0185622
"134","Bremen",2003,"Germany","green_area_pc",1460.10761325
"135","Mannheim",2003,"Germany","green_area_pc",103.4648283
"136","Berlin",2004,"Germany","green_area_pc",906.29893992
"137","München",2004,"Germany","green_area_pc",1601.1390216
"138","Frankfurt",2004,"Germany","green_area_pc",253.71992475
"139","Stuttgart",2004,"Germany","green_area_pc",346.66630082
"140","Leipzig",2004,"Germany","green_area_pc",304.16799321
"141","Dresden",2004,"Germany","green_area_pc",430.81958087
"142","Dortmund",2004,"Germany","green_area_pc",53.02382178
"143","Bremen",2004,"Germany","green_area_pc",1460.10965602
"144","Mannheim",2004,"Germany","green_area_pc",103.46613444
"145","Berlin",2005,"Germany","green_area_pc",906.26812065
"146","München",2005,"Germany","green_area_pc",1601.1263775
"147","Frankfurt",2005,"Germany","green_area_pc",253.72617369
"148","Stuttgart",2005,"Germany","green_area_pc",346.67727552
"149","Leipzig",2005,"Germany","green_area_pc",304.17385529
"150","Dresden",2005,"Germany","green_area_pc",430.81778622
"151","Dortmund",2005,"Germany","green_area_pc",53.02009146
"152","Bremen",2005,"Germany","green_area_pc",1460.11116496
"153","Mannheim",2005,"Germany","green_area_pc",103.4686487
"154","Berlin",2006,"Germany","green_area_pc",906.29005662
"155","München",2006,"Germany","green_area_pc",1601.14937046
"156","Frankfurt",2006,"Germany","green_area_pc",253.73732097
"157","Stuttgart",2006,"Germany","green_area_pc",346.67084208
"158","Leipzig",2006,"Germany","green_area_pc",304.1744354
"159","Dresden",2006,"Germany","green_area_pc",430.8191872
"160","Dortmund",2006,"Germany","green_area_pc",53.02423285
"161","Bremen",2006,"Germany","green_area_pc",1460.11328505
"162","Mannheim",2006,"Germany","green_area_pc",103.47172592
"163","Berlin",2007,"Germany","green_area_pc",906.27033405
"164","München",2007,"Germany","green_area_pc",1601.13017344
"165","Frankfurt",2007,"Germany","green_area_pc",253.72736424
"166","Stuttgart",2007,"Germany","green_area_pc",346.67154144
"167","Leipzig",2007,"Germany","green_area_pc",304.1748264
"168","Dresden",2007,"Germany","green_area_pc",430.81813197
"169","Dortmund",2007,"Germany","green_area_pc",53.01940267
"170","Bremen",2007,"Germany","green_area_pc",1460.11054248
"171","Mannheim",2007,"Germany","green_area_pc",103.4637132
"172","Berlin",2008,"Germany","green_area_pc",906.3030592
"173","München",2008,"Germany","green_area_pc",1601.13956708
"174","Frankfurt",2008,"Germany","green_area_pc",253.72077129
"175","Stuttgart",2008,"Germany","green_area_pc",346.6750716
"176","Leipzig",2008,"Germany","green_area_pc",304.17256686
"177","Dresden",2008,"Germany","green_area_pc",430.81822175
"178","Dortmund",2008,"Germany","green_area_pc",53.02238784
"179","Bremen",2008,"Germany","green_area_pc",1460.11146952
"180","Mannheim",2008,"Germany","green_area_pc",103.46955771
"181","Berlin",2009,"Germany","green_area_pc",906.30170399
"182","München",2009,"Germany","green_area_pc",1601.13930203
"183","Frankfurt",2009,"Germany","green_area_pc",253.717926
"184","Stuttgart",2009,"Germany","green_area_pc",346.682304
"185","Leipzig",2009,"Germany","green_area_pc",304.17101256
"186","Dresden",2009,"Germany","green_area_pc",430.8178525
