"country","year","city","val_idx","V","P","T"
"Germany",2002,"Berlin",1,906.28589857,28,9.84402739726027
"Germany",2002,"Bremen",1,1460.1060102,28,10.0510410958904
"Germany",2002,"Dortmund",1,53.02110528,29,10.4291232876712
"Germany",2002,"Dresden",1,430.81684341,32,9.22572602739726
"Germany",2002,"Frankfurt",1,253.71773441,30.5,10.5294246575342
"Germany",2002,"Leipzig",1,304.168644,30,10.0229589041096
"Germany",2002,"Mannheim",1,103.46430492,24,10.9443561643836
"Germany",2002,"München",1,1601.1370716,35,9.86309589041096
"Germany",2002,"Stuttgart",1,346.679877,26,10.0751506849315
"Germany",2003,"Berlin",2,906.289795,30,9.80915068493151
"Germany",2003,"Bremen",2,1460.10761325,30,9.75268493150685
"Germany",2003,"Dortmund",2,53.0185622,31,10.3341369863014
"Germany",2003,"Dresden",2,430.82154086,36,8.94742465753425
"Germany",2003,"Frankfurt",2,253.71686808,35,10.963095890411
"Germany",2003,"Leipzig",2,304.17030915,35,10.0825205479452
"Germany",2003,"Mannheim",2,103.4648283,28,11.3534794520548
"Germany",2003,"München",2,1601.13907534,40,9.7932602739726
"Germany",2003,"Stuttgart",2,346.68013708,28,10.3018904109589
"Germany",2004,"Berlin",3,906.29893992,24,9.53928961748634
"Germany",2004,"Bremen",3,1460.10965602,28,9.82920765027322
"Germany",2004,"Dortmund",3,53.02382178,27,9.76049180327869
"Germany",2004,"Dresden",3,430.81958087,30,8.73904371584699
"Germany",2004,"Frankfurt",3,253.71992475,25.5,10.0105464480874
"Germany",2004,"Leipzig",3,304.16799321,29,9.54811475409836
"Germany",2004,"Mannheim",3,103.46613444,23,10.5060655737705
"Germany",2004,"München",3,1601.1390216,32.5,8.9024043715847
"Germany",2004,"Stuttgart",3,346.66630082,23,9.5451912568306
"Germany",2005,"Berlin",4,906.26812065,26,9.55723287671233
"Germany",2005,"Bremen",4,1460.11116496,27,9.92830136986301
"Germany",2005,"Dortmund",4,53.02009146,27,10.2131232876712
"Germany",2005,"Dresden",4,430.81778622,34,8.75509589041096
"Germany",2005,"Frankfurt",4,253.72617369,25.5,10.4147945205479
"Germany",2005,"Leipzig",4,304.17385529,32.3333333333333,9.73805479452055
"Germany",2005,"Mannheim",4,103.4686487,22,10.7619178082192
"Germany",2005,"München",4,1601.1263775,30,8.56041095890411
"Germany",2005,"Stuttgart",4,346.67727552,24,9.44115068493151
"Germany",2006,"Berlin",5,906.29005662,29,10.2798904109589
"Germany",2006,"Bremen",5,1460.11328505,27,10.524301369863
"Germany",2006,"Dortmund",5,53.02423285,27,10.6741095890411
"Germany",2006,"Dresden",5,430.8191872,39,9.27961643835616
"Germany",2006,"Frankfurt",5,253.73732097,25,10.7304657534247
"Germany",2006,"Leipzig",5,304.1744354,33.6666666666667,10.3556438356164
